date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,sum_delay,max_delay,min_delay,n_late5
2026-09-02,7,10001,1,22,201_1,1,365,365,365,1
2026-09-02,7,10001,1,23,51_1,1,365,365,365,1
2026-09-02,7,10001,1,24,202_1,2,824,425,399,2
2026-09-02,7,10001,1,25,5_4,3,1190,425,366,3
2026-09-02,7,10001,1,26,6070_3,4,1289,365,279,3
2026-09-02,7,10031,0,33,6255_2,1,66,66,66,0
2026-09-02,7,10031,0,34,6256_2,2,141,73,68,0
2026-09-02,7,10031,0,35,6094_2,2,83,44,39,0
2026-09-02,7,10031,0,36,6244_2,2,27,16,11,0
2026-09-02,7,10031,0,37,6257_2,3,53,28,10,0
2026-09-02,7,10031,0,38,6240_2,3,128,53,35,0
2026-09-02,7,10031,0,39,6258_2,4,296,84,63,0
2026-09-02,7,10031,0,40,6225_2,4,192,58,37,0
2026-09-02,7,10031,0,41,6181_2,4,96,34,13,0
2026-09-02,7,10031,0,42,6246_2,4,140,45,24,0
2026-09-02,7,10031,0,43,6206_2,4,152,48,27,0
2026-09-02,7,10031,0,44,6176_2,4,336,94,73,0
2026-09-02,7,10031,0,45,6200_3,4,344,96,75,0
2026-09-02,7,10031,0,46,6042_2,4,172,53,32,0
2026-09-02,7,10031,0,47,6031_2,3,19,11,0,0
2026-09-02,7,10031,0,48,6039_1,1,0,0,0,0
2026-09-02,7,10047,0,1,61_1,1,0,0,0,0
2026-09-02,7,10047,0,2,59_4,2,23,23,0,0
2026-09-02,7,10047,0,3,57_2,2,23,23,0,0
2026-09-02,7,10047,0,4,56_2,2,23,23,0,0
2026-09-02,7,10047,0,5,55_2,2,143,83,60,0
2026-09-02,7,10047,0,6,72_1,2,263,143,120,0
2026-09-02,7,10047,0,7,73_2,2,263,143,120,0
2026-09-02,7,10047,0,8,73_3,2,263,143,120,0
2026-09-02,7,10047,0,9,3_2,2,263,143,120,0
2026-09-02,7,10047,1,16,6255_1,1,0,0,0,0
2026-09-02,7,10047,1,17,6064_2,1,29,29,29,0
