date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,sum_delay,max_delay,min_delay,n_late5
2026-08-26,6,10032,1,19,94_4,1,51,51,51,0
2026-08-26,6,10032,1,20,93_2,1,51,51,51,0
2026-08-26,6,10032,1,21,6016_2,2,91,47,44,0
2026-08-26,6,10032,1,22,91_4,3,323,112,104,0
2026-08-26,6,10032,1,23,6016_1,4,473,148,42,0
2026-08-26,6,10032,1,24,93_1,4,446,145,39,0
2026-08-26,6,10032,1,25,94_2,4,686,205,99,0
2026-08-26,6,10032,1,26,95_1,4,632,189,83,0
2026-08-26,6,10032,1,27,6228_1,4,706,221,115,0
2026-08-26,6,10032,1,28,243_1,4,793,235,160,0
2026-08-26,6,10032,1,29,6041_1,4,905,263,188,0
2026-08-26,6,10032,1,30,6162_1,4,809,239,164,0
2026-08-26,6,10032,1,31,6160_1,4,825,243,168,0
2026-08-26,6,10032,1,32,6001_1,4,1009,289,214,0
2026-08-26,6,10032,1,33,6161_1,4,953,275,200,0
2026-08-26,6,10032,1,34,446_3,1,225,225,225,0
2026-08-26,6,10045,0,14,95_2,1,98,98,98,0
2026-08-26,6,10045,0,15,94_3,1,119,119,119,0
2026-08-26,6,10045,0,16,93_2,2,279,160,119,0
2026-08-26,6,10045,0,17,6016_2,3,431,166,112,0
2026-08-26,6,10045,0,18,91_1,4,843,232,172,0
2026-08-26,6,10045,0,19,6016_1,4,883,242,182,0
2026-08-26,6,10045,0,20,93_1,4,856,239,164,0
2026-08-26,6,10045,0,21,94_1,4,856,239,164,0
2026-08-26,6,10045,0,22,6242_1,4,856,239,164,0
2026-08-26,6,10045,0,23,6064_1,4,772,218,143,0
2026-08-26,6,10045,0,24,6255_2,4,884,246,171,0
2026-08-26,6,10045,0,25,6256_2,4,932,258,183,0
2026-08-26,6,10045,0,26,6094_2,4,836,234,159,0
2026-08-26,6,10045,0,27,6244_2,4,716,204,129,0
2026-08-26,6,10045,0,28,6257_2,4,728,207,132,0
2026-08-26,6,10045,0,29,6240_2,4,828,232,157,0
2026-08-26,6,10045,0,30,6258_2,4,844,236,161,0
2026-08-26,6,10045,0,31,6225_2,1,145,145,145,0
2026-08-26,6,10047,0,17,6240_2,1,67,67,67,0
2026-08-26,6,10047,0,18,6258_2,1,67,67,67,0
2026-08-26,6,10047,0,19,6225_2,2,103,67,36,0
2026-08-26,6,10047,0,20,6181_2,2,103,67,36,0
2026-08-26,6,10047,0,21,6246_2,3,108,67,5,0
2026-08-26,6,10047,0,22,6206_2,4,170,67,5,0
2026-08-26,6,10047,0,23,6176_2,4,170,67,5,0
2026-08-26,6,10047,0,24,6200_3,4,170,67,5,0
2026-08-26,6,10047,0,25,6042_2,4,170,67,5,0
2026-08-26,6,10047,0,26,6031_2,4,170,67,5,0
2026-08-26,6,10047,0,27,6039_1,4,170,67,5,0
2026-08-26,6,10051,0,3,93_1,1,20,20,20,0
2026-08-26,6,10051,0,4,6013_2,1,117,117,117,0
2026-08-26,6,10051,0,5,6212_2,2,228,120,108,0
2026-08-26,6,10051,0,6,6205_2,2,222,117,105,0
2026-08-26,6,10051,0,7,6187_3,3,272,100,80,0
2026-08-26,6,10051,0,8,6011_4,3,209,79,59,0
2026-08-26,6,10051,0,9,6017_2,3,203,77,57,0
2026-08-26,6,10051,0,10,6172_2,3,131,53,33,0
2026-08-26,6,10051,0,11,6067_2,3,257,95,75,0
2026-08-26,6,10051,0,12,6248_2,3,215,81,61,0
2026-08-26,6,10051,0,13,6249_2,3,158,62,42,0
2026-08-26,6,10051,0,14,6015_2,1,0,0,0,0
2026-08-26,6,10051,1,5,6172_1,1,35,35,35,0
2026-08-26,6,10051,1,6,6017_1,2,44,29,15,0
2026-08-26,6,10051,1,7,6011_1,2,22,18,4,0
2026-08-26,6,10051,1,8,6187_2,3,108,74,10,0
2026-08-26,6,10051,1,9,6205_1,3,89,78,0,0
2026-08-26,6,10051,1,10,6212_1,5,241,88,4,0
2026-08-26,6,10051,1,11,6013_1,5,212,78,0,0
2026-08-26,6,10051,1,12,93_2,6,337,94,0,0
2026-08-26,6,10051,1,13,6016_2,6,320,90,0,0
2026-08-26,6,10051,1,14,91_4,7,708,150,28,0
2026-08-26,6,10060,0,1,9_1,1,0,0,0,0
2026-08-26,6,10060,0,2,6241_2,1,0,0,0,0
2026-08-26,6,10060,0,3,6143_2,1,60,60,60,0
2026-08-26,6,10060,0,4,6166_2,1,60,60,60,0
2026-08-26,6,10060,0,5,446_4,1,60,60,60,0
2026-08-26,6,10060,0,6,6161_2,1,60,60,60,0
2026-08-26,6,10060,0,6,6070_3,1,141,141,141,0
2026-08-26,6,10060,0,7,6001_2,1,82,82,82,0
2026-08-26,6,10060,0,7,6102_2,2,143,81,62,0
2026-08-26,6,10060,0,8,6160_2,1,50,50,50,0
2026-08-26,6,10060,0,8,6069_2,3,253,110,62,0
2026-08-26,6,10060,0,9,6162_2,1,66,66,66,0
2026-08-26,6,10060,0,9,6057_2,3,253,110,62,0
2026-08-26,6,10060,0,10,6041_2,1,88,88,88,0
2026-08-26,6,10060,0,10,9_5,3,433,170,122,0
2026-08-26,6,10060,0,11,243_2,1,74,74,74,0
2026-08-26,6,10060,0,11,6241_2,4,459,170,26,0
2026-08-26,6,10060,0,12,6228_2,1,105,105,105,0
2026-08-26,6,10060,0,12,6143_2,4,567,197,53,0
2026-08-26,6,10060,0,13,95_2,1,96,96,96,0
2026-08-26,6,10060,0,13,6166_2,4,451,168,24,0
2026-08-26,6,10060,0,14,94_3,1,123,123,123,0
2026-08-26,6,10060,0,14,446_4,4,256,111,0,0
2026-08-26,6,10060,0,15,6013_2,1,183,183,183,0
2026-08-26,6,10060,0,15,6161_2,4,272,115,4,0
2026-08-26,6,10060,0,16,6212_2,1,183,183,183,0
2026-08-26,6,10060,0,16,6001_2,4,392,145,34,0
2026-08-26,6,10060,0,17,6205_2,1,183,183,183,0
2026-08-26,6,10060,0,17,6160_2,4,292,120,9,0
2026-08-26,6,10060,0,18,6187_3,1,183,183,183,0
2026-08-26,6,10060,0,18,6162_2,4,244,107,0,0
2026-08-26,6,10060,0,19,6011_4,1,183,183,183,0
2026-08-26,6,10060,0,19,6041_2,4,312,124,17,0
2026-08-26,6,10060,0,20,6017_2,1,183,183,183,0
2026-08-26,6,10060,0,20,243_2,4,260,111,4,0
2026-08-26,6,10060,0,21,6172_2,1,183,183,183,0
2026-08-26,6,10060,0,21,6228_2,4,288,118,11,0
2026-08-26,6,10060,0,22,6067_2,1,243,243,243,0
2026-08-26,6,10060,0,22,95_2,4,300,121,14,0
2026-08-26,6,10060,0,23,6248_2,1,243,243,243,0
2026-08-26,6,10060,0,23,94_3,4,402,148,41,0
2026-08-26,6,10060,0,24,6249_2,1,243,243,243,0
2026-08-26,6,10060,0,24,6013_2,1,160,160,160,0
2026-08-26,6,10060,0,25,6015_2,2,193,183,10,0
2026-08-26,6,10060,1,10,6212_1,1,8,8,8,0
2026-08-26,6,10060,1,11,6013_1,1,8,8,8,0
2026-08-26,6,10060,1,12,94_2,3,267,130,68,0
2026-08-26,6,10060,1,13,95_1,3,261,124,68,0
2026-08-26,6,10060,1,14,6228_1,5,404,132,6,0
2026-08-26,6,10060,1,15,243_1,6,619,187,6,0
2026-08-26,6,10060,1,16,6041_1,7,986,253,16,0
2026-08-26,6,10060,1,17,6162_1,7,890,229,16,0
2026-08-26,6,10060,1,18,6160_1,7,906,233,16,0
2026-08-26,6,10060,1,19,6001_1,7,1270,279,76,0
2026-08-26,6,10060,1,20,6161_1,7,1394,265,136,0
2026-08-26,6,10060,1,21,446_3,7,1854,319,208,2
2026-08-26,6,10060,1,22,6166_1,7,1878,319,214,2
2026-08-26,6,10060,1,23,6143_1,7,1734,319,178,2
2026-08-26,6,10060,1,24,6241_1,7,1642,319,155,2
2026-08-26,6,10060,1,25,9_2,7,1278,259,109,0
2026-08-26,6,10060,1,26,8_3,7,1494,319,118,2
2026-08-26,6,10060,1,27,6_1,7,1566,319,136,2
2026-08-26,6,10060,1,28,902_1,7,1442,319,105,2
2026-08-26,6,10060,1,29,5_1,5,1396,379,160,3
2026-08-26,6,10060,1,30,4_1,3,1073,379,316,3
2026-08-26,6,10060,1,31,6059_1,3,1253,439,376,3
2026-08-26,6,10060,1,32,3_1,3,1253,439,376,3
2026-08-26,6,10060,1,33,73_1,3,1253,439,376,3
2026-08-26,6,10060,1,34,128_1,3,1253,439,376,3
2026-08-26,6,10060,1,35,114_5,3,1613,559,496,3
2026-08-26,6,10062,0,4,6902_2,1,75,75,75,0
2026-08-26,6,10062,0,5,6006_2,1,135,135,135,0
