date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ
2026-09-06,6,10032,1,5,95_1,1,1,1,1
2026-09-06,6,10032,1,7,243_1,1,1,1,1
2026-09-06,6,10032,1,10,6160_1,1,1,1,1
2026-09-06,6,10032,1,12,6161_1,1,1,1,1
2026-09-06,6,10045,0,22,6242_1,1,1,1,1
2026-09-06,6,10045,0,24,6255_2,1,1,1,1
2026-09-06,6,10045,0,26,6094_2,1,1,1,1
2026-09-06,6,10045,0,30,6258_2,1,1,1,1
2026-09-06,6,10047,1,1,6039_1,4,4,4,1
2026-09-06,6,10050,0,4,6013_2,1,1,1,1
2026-09-06,6,10050,0,6,6205_2,1,1,1,1
2026-09-06,6,10050,0,8,6011_2,1,1,1,1
2026-09-06,6,10050,0,12,6014_3,1,1,1,1
2026-09-06,6,10050,1,2,6171_1,1,1,1,1
2026-09-06,6,10050,1,4,6018_1,1,1,1,1
2026-09-06,6,10050,1,6,6187_2,1,1,1,1
2026-09-06,6,10050,1,8,6212_1,1,1,1,1
2026-09-06,6,10059,0,3,6170_2,1,1,1,1
2026-09-06,6,10059,0,6,6229_2,1,1,1,1
2026-09-06,6,10059,0,8,6169_2,1,1,1,1
2026-09-06,6,10059,0,9,6260_1,1,1,0,0
2026-09-06,6,10059,1,1,6019_1,1,1,0,0
2026-09-06,6,10059,1,3,6106_1,1,1,1,1
2026-09-06,6,10060,0,1,6161_2,3,3,3,1
2026-09-06,6,10060,0,3,6160_2,1,1,1,1
2026-09-06,6,10060,1,3,6248_1,1,1,1,1
2026-09-06,6,10060,1,5,6172_1,1,1,1,1
2026-09-06,6,10060,1,6,6017_1,1,1,1,1
2026-09-06,6,10060,1,8,6187_2,1,1,1,1
2026-09-06,6,10060,1,27,6_1,1,1,1,1
2026-09-06,6,10060,1,30,4_1,1,1,1,1
2026-09-06,6,10060,1,31,6059_1,1,1,1,1
2026-09-06,6,10060,1,32,3_1,1,1,1,1
2026-09-06,6,10069,1,29,73_1,1,1,1,1
2026-09-06,6,10069,1,30,128_1,2,2,2,1
2026-09-06,6,10070,1,10,212_1,1,1,1,1
2026-09-06,6,10070,1,12,210_1,1,1,1,1
2026-09-06,6,10070,1,13,6023_3,1,1,1,1
2026-09-06,6,10070,1,14,7717_1,1,1,1,1
2026-09-06,6,10072,1,2,6236_2,1,1,0,0
2026-09-06,6,10072,1,4,418_2,1,1,1,1
2026-09-06,6,10072,1,5,419_2,1,1,1,1
2026-09-06,6,10072,1,8,422_2,1,1,1,1
2026-09-06,6,10080,1,1,6079_1,2,2,14,7
2026-09-06,6,10080,1,2,6035_1,2,2,2,1
2026-09-06,8,10001,1,25,5_4,1,1,1,1
2026-09-06,8,10001,1,26,6070_3,1,1,1,1
2026-09-06,8,10002,1,6,75_2,1,1,1,1
2026-09-06,8,10002,1,7,453_1,1,1,1,1
2026-09-06,8,10002,1,8,454_1,1,1,1,1
2026-09-06,8,10002,1,10,456_1,1,1,1,1
2026-09-06,8,10002,1,20,910_2,1,1,1,1
2026-09-06,8,10002,1,22,534_2,2,2,2,1
2026-09-06,8,10002,1,23,59_3,1,1,1,1
2026-09-06,8,10008,0,3,6012_2,1,1,1,1
2026-09-06,8,10008,0,5,6018_2,1,1,1,1
2026-09-06,8,10008,0,8,6014_3,1,1,1,1
2026-09-06,8,10032,0,35,94_1,1,1,1,1
2026-09-06,8,10032,0,36,6242_1,1,1,1,1
2026-09-06,8,10032,0,38,6255_2,1,1,1,1
2026-09-06,8,10032,0,40,6094_2,1,1,1,1
2026-09-06,8,10032,1,53,61_1,1,1,1,1
2026-09-06,8,10047,0,6,72_1,1,1,1,1
2026-09-06,8,10047,0,7,73_2,1,1,1,1
2026-09-06,8,10047,0,8,73_3,1,1,1,1
2026-09-06,8,10047,0,9,3_2,1,1,1,1
2026-09-06,8,10047,1,5,6176_1,1,1,0,0
2026-09-06,8,10047,1,6,6206_1,1,1,1,1
2026-09-06,8,10047,1,8,6181_1,1,1,1,1
2026-09-06,8,10047,1,9,6225_1,1,1,1,1
2026-09-06,8,10047,1,31,6241_1,1,1,1,1
2026-09-06,8,10047,1,32,9_2,1,1,1,1
2026-09-06,8,10047,1,34,6069_1,1,1,1,1
2026-09-06,8,10047,1,35,6102_1,1,1,1,1
2026-09-06,8,10049,1,23,6064_2,1,1,1,1
2026-09-06,8,10049,1,25,94_4,1,1,1,1
2026-09-06,8,10049,1,26,93_2,1,1,1,1
2026-09-06,8,10051,0,1,91_4,1,1,1,1
2026-09-06,8,10051,1,1,6015_1,1,1,7,7
2026-09-06,8,10051,1,9,6205_1,1,1,1,1
2026-09-06,8,10051,1,11,6013_1,1,1,1,1
2026-09-06,8,10051,1,12,93_2,1,1,1,1
2026-09-06,8,10053,0,33,6073_2,2,2,2,1
2026-09-06,8,10053,0,34,6152_1,1,1,1,1
2026-09-06,8,10053,0,36,6289_9,1,1,1,1
2026-09-06,8,10059,0,1,91_3,2,2,2,1
2026-09-06,8,10059,0,2,7841_4,1,1,1,1
2026-09-06,8,10059,0,3,6170_2,1,1,1,1
2026-09-06,8,10059,0,9,6260_1,1,1,0,0
2026-09-06,8,10060,0,2,73_1,1,1,1,1
2026-09-06,8,10060,0,3,128_1,1,1,1,1
2026-09-06,8,10060,0,4,114_5,1,1,1,1
2026-09-06,8,10060,0,22,95_2,1,1,1,1
2026-09-06,8,10060,0,24,6013_2,2,2,2,1
2026-09-06,8,10060,0,26,6205_2,1,1,1,1
2026-09-06,8,10060,1,2,6249_1,1,1,1,1
2026-09-06,8,10060,1,4,6067_1,1,1,1,1
2026-09-06,8,10060,1,5,6172_1,1,1,1,1
2026-09-06,8,10060,1,7,6011_1,1,1,1,1
2026-09-06,8,10060,1,19,6001_1,1,1,1,1
2026-09-06,8,10060,1,21,446_3,1,1,1,1
2026-09-06,8,10060,1,22,6166_1,1,1,1,1
2026-09-06,8,10060,1,24,6241_1,1,1,1,1
2026-09-06,8,10060,1,32,3_1,1,1,1,1
2026-09-06,8,10062,1,1,6019_1,1,1,7,7
2026-09-06,8,10062,1,2,6020_1,1,1,1,1
2026-09-06,8,10062,1,4,6134_1,1,1,1,1
2026-09-06,8,10064,0,3,6170_2,1,1,1,1
2026-09-06,8,10064,0,6,6229_2,1,1,1,1
2026-09-06,8,10064,0,7,6074_2,1,1,1,1
2026-09-06,8,10064,0,9,6263_2,1,1,1,1
2026-09-06,8,10068,0,2,73_1,1,1,1,1
2026-09-06,8,10068,0,3,128_1,2,2,2,1
2026-09-06,8,10068,0,18,606_2,1,1,1,1
2026-09-06,8,10068,0,20,608_2,1,1,1,1
2026-09-06,8,10068,0,22,610_2,1,1,1,1
2026-09-06,8,10068,0,24,7717_2,1,1,1,1
2026-09-06,8,10068,0,40,418_1,1,1,1,1
2026-09-06,8,10068,0,41,440_1,1,1,1,1
2026-09-06,8,10068,0,42,6236_1,1,1,1,1
2026-09-06,8,10068,1,1,6109_1,1,1,7,7
2026-09-06,8,10068,1,2,6236_2,1,1,1,1
2026-09-06,8,10068,1,3,440_2,1,1,1,1
2026-09-06,8,10068,1,4,418_2,1,1,1,1
2026-09-06,8,10068,1,39,6059_1,1,1,1,1
2026-09-06,8,10069,1,21,252_1,1,1,1,1
2026-09-06,8,10069,1,22,186_1,1,1,1,1
2026-09-06,8,10069,1,23,253_1,1,1,1,1
2026-09-06,8,10069,1,24,53_1,1,1,1,1
2026-09-06,8,10070,1,16,610_1,1,1,1,1
2026-09-06,8,10070,1,18,608_1,1,1,1,1
2026-09-06,8,10070,1,20,606_1,1,1,1,1
2026-09-06,8,10070,1,21,249_1,1,1,1,1
2026-09-06,8,10072,0,4,56_2,2,2,2,1
2026-09-06,8,10072,0,5,55_4,1,1,1,1
2026-09-06,8,10072,0,6,69_2,1,1,1,1
2026-09-06,8,10072,0,18,212_2,1,1,1,1
