date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-08,7,10068,1,35,253_1,1,1,1,1,0
2026-09-08,7,10069,1,29,73_1,2,2,2,1,0
2026-09-08,7,10069,1,31,114_5,1,1,0,0,0
2026-09-08,7,10075,1,3,7217_1,1,1,1,1,0
2026-09-08,7,10075,1,4,752_1,1,1,1,1,0
2026-09-08,7,10075,1,6,215_1,1,1,1,1,0
2026-09-08,7,10075,1,7,214_1,1,1,1,1,0
2026-09-08,7,10075,1,15,206_1,2,2,2,1,0
2026-09-08,7,10075,1,17,255_1,1,1,1,1,0
2026-09-08,7,10075,1,19,65_1,1,1,1,1,0
2026-09-08,7,10081,0,11,6079_1,1,1,0,0,0
2026-09-08,9,10001,1,25,5_4,1,1,1,1,0
2026-09-08,9,10001,1,26,6070_3,1,1,0,0,0
2026-09-08,9,10002,1,17,124_1,1,1,1,1,0
2026-09-08,9,10002,1,18,123_1,1,1,1,1,0
2026-09-08,9,10002,1,19,122_1,1,1,1,1,0
2026-09-08,9,10002,1,20,910_2,1,1,1,1,0
2026-09-08,9,10032,0,9,3_2,1,1,1,1,0
2026-09-08,9,10032,0,11,393_2,1,1,1,1,0
2026-09-08,9,10032,0,12,6070_3,1,1,1,1,0
2026-09-08,9,10032,0,13,6102_2,1,1,1,1,0
2026-09-08,9,10032,1,39,6057_1,1,1,3,3,0
2026-09-08,9,10032,1,40,6069_1,1,1,3,3,0
2026-09-08,9,10032,1,41,6102_1,1,1,3,3,0
2026-09-08,9,10032,1,43,393_1,1,1,1,1,0
2026-09-08,9,10033,1,1,7475_1,1,0,0,0,1
2026-09-08,9,10034,0,15,6073_2,2,2,2,1,0
2026-09-08,9,10047,0,32,6255_2,1,1,1,1,0
2026-09-08,9,10047,0,34,6094_2,1,1,1,1,0
2026-09-08,9,10047,0,37,6240_2,1,1,1,1,0
2026-09-08,9,10047,0,40,6181_2,1,1,1,1,0
2026-09-08,9,10047,1,9,6225_1,1,1,1,1,0
2026-09-08,9,10047,1,11,6240_1,1,1,1,1,0
2026-09-08,9,10047,1,13,6244_1,1,1,1,1,0
2026-09-08,9,10047,1,16,6255_1,1,1,1,1,0
2026-09-08,9,10049,0,1,91_1,1,0,0,0,1
2026-09-08,9,10049,0,3,93_1,1,1,0,0,0
2026-09-08,9,10049,0,5,6242_1,2,2,0,0,0
2026-09-08,9,10050,0,3,93_1,1,1,1,1,0
2026-09-08,9,10050,0,6,6205_2,1,1,1,1,0
2026-09-08,9,10050,0,7,6187_3,1,1,1,1,0
2026-09-08,9,10050,0,9,6018_2,1,1,1,1,0
2026-09-08,9,10050,1,5,6011_3,1,1,1,1,0
2026-09-08,9,10050,1,6,6187_2,1,1,1,1,0
2026-09-08,9,10050,1,8,6212_1,1,1,1,1,0
2026-09-08,9,10050,1,10,93_2,1,1,1,1,0
2026-09-08,9,10053,1,2,6278_1,1,1,0,0,0
2026-09-08,9,10054,0,3,6271_9,1,1,1,1,0
2026-09-08,9,10054,1,1,6292_1,1,1,1,1,0
2026-09-08,9,10054,1,4,6403_1,1,1,1,1,0
2026-09-08,9,10059,0,2,7841_4,2,2,2,1,0
2026-09-08,9,10059,0,3,6170_2,1,1,1,1,0
2026-09-08,9,10059,0,5,6006_2,1,1,1,1,0
2026-09-08,9,10059,1,5,6074_1,1,1,1,1,0
2026-09-08,9,10059,1,7,6006_1,1,1,1,1,0
2026-09-08,9,10059,1,8,6902_1,1,1,1,1,0
2026-09-08,9,10059,1,10,7841_2,1,1,1,1,0
2026-09-08,9,10060,1,1,6015_1,1,0,0,0,1
2026-09-08,9,10060,1,2,6249_1,1,1,1,1,0
2026-09-08,9,10060,1,4,6067_1,1,1,1,1,0
2026-09-08,9,10060,1,12,94_2,2,2,2,1,0
2026-09-08,9,10060,1,14,6228_1,1,1,1,1,0
2026-09-08,9,10060,1,15,243_1,1,1,1,1,0
