date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ
2026-09-05,7,10031,0,1,3_1,1,1,7,7
2026-09-05,7,10032,1,17,9_2,1,1,1,1
2026-09-05,7,10032,1,18,6057_1,1,1,1,1
2026-09-05,7,10032,1,20,6102_1,1,1,1,1
2026-09-05,7,10032,1,21,6070_2,1,1,1,1
2026-09-05,7,10043,0,1,6019_1,1,1,7,7
2026-09-05,7,10045,0,33,6246_2,1,1,1,1
2026-09-05,7,10045,0,34,6206_2,1,1,1,1
2026-09-05,7,10045,0,36,6200_3,1,1,1,1
2026-09-05,7,10045,0,38,6031_2,1,1,1,1
2026-09-05,7,10047,1,6,6206_1,1,1,1,1
2026-09-05,7,10047,1,8,6181_1,1,1,1,1
2026-09-05,7,10047,1,10,6258_1,1,1,1,1
2026-09-05,7,10047,1,11,6240_1,1,1,1,1
2026-09-05,7,10050,1,1,6014_1,1,1,7,7
2026-09-05,7,10051,0,1,91_4,2,2,2,1
2026-09-05,7,10051,0,2,6016_1,1,1,1,1
2026-09-05,7,10051,0,4,6013_2,1,1,1,1
2026-09-05,7,10051,1,4,6067_1,1,1,1,1
2026-09-05,7,10051,1,5,6172_1,1,1,1,1
2026-09-05,7,10051,1,8,6187_2,1,1,1,1
2026-09-05,7,10051,1,9,6205_1,1,1,1,1
2026-09-05,7,10059,0,14,6134_2,1,1,1,1
2026-09-05,7,10059,0,16,6020_9,1,1,0,0
2026-09-05,7,10059,1,8,7475_1,1,1,1,1
2026-09-05,7,10059,1,9,6260_2,1,1,1,1
2026-09-05,7,10059,1,10,6169_1,1,1,1,1
2026-09-05,7,10059,1,12,6074_1,1,1,1,1
2026-09-05,7,10060,0,2,6241_2,1,1,1,1
2026-09-05,7,10060,0,4,114_5,2,2,2,1
2026-09-05,7,10060,0,5,446_4,2,2,2,1
2026-09-05,7,10060,0,5,393_2,2,2,2,1
2026-09-05,7,10060,0,9,6162_2,1,1,1,1
2026-09-05,7,10060,1,12,94_2,1,1,1,1
2026-09-05,7,10060,1,14,6228_1,1,1,1,1
2026-09-05,7,10060,1,15,243_1,1,1,1,1
2026-09-05,7,10060,1,18,6160_1,1,1,1,1
2026-09-05,7,10068,0,3,216_2,1,1,1,1
2026-09-05,7,10068,0,5,7217_2,1,1,1,1
2026-09-05,7,10068,0,6,422_1,1,1,1,1
2026-09-05,7,10068,0,7,421_1,1,1,1,1
2026-09-05,7,10068,1,2,6236_2,1,1,1,1
2026-09-05,7,10068,1,4,418_2,1,1,1,1
2026-09-05,7,10068,1,5,419_2,1,1,1,1
2026-09-05,7,10068,1,6,6163_2,1,1,1,1
2026-09-05,7,10070,1,20,606_1,1,1,1,1
2026-09-05,7,10070,1,21,249_1,1,1,1,1
2026-09-05,7,10070,1,22,250_1,1,1,1,1
2026-09-05,7,10070,1,23,251_1,1,1,1,1
2026-09-05,7,10072,1,11,216_1,1,1,1,1
2026-09-05,7,10072,1,12,215_1,1,1,1,1
2026-09-05,7,10072,1,14,7213_1,1,1,1,1
2026-09-05,7,10072,1,16,212_1,1,1,1,1
2026-09-05,7,10080,1,8,7217_2,1,1,0,0
2026-09-05,7,10080,1,9,422_1,1,1,0,0
