date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-21,7,10031,0,1,3_1,1,0,0,0,1
2026-09-21,7,10031,0,2,73_1,1,1,0,0,0
2026-09-21,7,10031,0,3,128_1,1,1,1,1,0
2026-09-21,7,10031,0,4,114_5,1,1,1,1,0
2026-09-21,7,10032,1,21,6070_2,1,1,1,1,0
2026-09-21,7,10032,1,22,393_1,1,1,1,1,0
2026-09-21,7,10032,1,23,114_1,1,1,1,1,0
2026-09-21,7,10032,1,24,114_3,1,1,1,1,0
2026-09-21,7,10043,0,2,6148_2,1,0,0,0,1
2026-09-21,7,10047,1,11,6240_1,1,1,1,1,0
2026-09-21,7,10047,1,13,6244_1,1,1,1,1,0
2026-09-21,7,10047,1,16,6255_1,1,1,1,1,0
2026-09-21,7,10047,1,17,6064_2,1,1,1,1,0
2026-09-21,7,10050,0,1,91_4,1,1,1,1,0
2026-09-21,7,10050,1,1,6014_1,1,0,0,0,1
2026-09-21,7,10050,1,4,6018_1,1,1,0,0,0
2026-09-21,7,10050,1,6,6187_2,1,1,0,0,0
2026-09-21,7,10051,0,5,6212_2,1,1,1,1,0
2026-09-21,7,10051,0,7,6187_3,1,1,1,1,0
2026-09-21,7,10051,0,9,6017_2,1,1,1,1,0
2026-09-21,7,10051,0,11,6067_2,1,1,1,1,0
2026-09-21,7,10051,1,8,6187_2,1,1,1,1,0
2026-09-21,7,10051,1,12,93_2,1,1,1,1,0
2026-09-21,7,10051,1,13,6016_2,1,1,1,1,0
2026-09-21,7,10059,0,1,91_3,1,1,1,1,0
2026-09-21,7,10059,0,3,6170_2,1,1,1,1,0
2026-09-21,7,10059,1,12,6074_1,1,1,1,1,0
2026-09-21,7,10059,1,14,6006_1,1,1,1,1,0
2026-09-21,7,10059,1,16,6170_1,1,1,1,1,0
2026-09-21,7,10059,1,18,91_3,1,1,1,1,0
2026-09-21,7,10060,0,5,393_2,1,1,0,0,0
2026-09-21,7,10060,0,7,6102_2,1,1,0,0,0
2026-09-21,7,10060,0,8,6069_2,1,1,0,0,0
2026-09-21,7,10060,0,10,9_5,1,1,0,0,0
2026-09-21,7,10060,0,16,6172_2,1,1,0,0,0
2026-09-21,7,10060,0,19,6249_2,1,1,0,0,0
2026-09-21,7,10060,1,17,6162_1,1,1,1,1,0
2026-09-21,7,10060,1,19,6001_1,1,1,1,1,0
2026-09-21,7,10060,1,21,446_3,1,1,1,1,0
2026-09-21,7,10060,1,23,6143_1,1,1,1,1,0
2026-09-21,7,10068,0,8,6163_1,1,1,0,0,0
2026-09-21,7,10068,0,9,419_1,1,1,0,0,0
2026-09-21,7,10068,0,12,6236_1,1,1,0,0,0
2026-09-21,7,10068,0,13,6109_1,1,1,0,0,0
2026-09-21,7,10068,1,6,6163_2,1,1,1,1,0
2026-09-21,7,10068,1,8,422_2,2,2,2,1,0
2026-09-21,7,10068,1,10,752_1,1,1,1,1,0
2026-09-21,7,10070,1,23,251_1,1,1,1,1,0
2026-09-21,7,10070,1,24,152_2,1,1,1,1,0
